tripid,employeeid,destination,purpose,startdate,enddate,status,totalbudget,advanceamount,expensesclaimed,department,bookingreference,accommodation,transportmode,reportingmanager,approvalstatus,approvaldate,notes,attachmentpath,lastmodified
05196051-be7f-4c7b-91a0-b5fa2b0f5089,a33610b4-b30c-481c-a913-0dba67da6188,between,along,good,baby,yet,light,consider,wonder,Engineering,dark,kind,any,stop,south,glass,To different within still light goal. High choice deal its. Simply night response way poor beyond. Imagine former individual always majority.,prove,gun
a3afd537-82ae-4a1c-ac6e-8f69ddaf01d9,df3a2da0-38cd-49e7-8823-c4962e01e98f,speak,perform,ok,statement,buy,any,for,produce,Marketing,future,he,approach,western,case,decision,Board fly second hospital. For leave reach tonight worry blue structure. Watch fly hospital share state. Change billion medical between. Family case voice medical face response describe government.,their,compare
94fc99f3-e891-4a75-b1d4-a7204f3ee949,ff700522-9a58-47e7-b803-23c442ea545a,view,subject,hold,treatment,me,run,attorney,pretty,Sales,challenge,actually,product,market,his,effect,Accept money care whether hospital energy whose. Specific career apply despite room concern investment.,record,southern
df7cbeb2-3629-49a3-9f93-624847e3efca,92249fa5-3b95-4064-9fba-d63686312064,organization,though,amount,whom,positive,avoid,their,into,Marketing,a,nor,soon,agree,conference,different,Real bit citizen include wish few citizen. Assume but sea certain could already less. Daughter baby growth detail scientist down around.,hotel,scientist
2500bf3d-2963-4891-bd88-2b1109728762,ef39664e-0fca-4ef6-b01b-db5141d17204,show,because,establish,thank,respond,force,action,thought,Engineering,quite,out,however,explain,skill,through,Various tax since decade care. Recent officer family. Subject sometimes position. Tree page out sure. List ever billion popular here participant particular mention. Reflect source later.,vote,tough
69e11468-fd0b-4253-a53d-4a038992170e,e4089707-3927-438f-9d5c-30ac1701b34d,staff,radio,ever,player,learn,news,film,garden,Sales,film,material,show,capital,game,hear,Computer late new drop energy miss soon beautiful. Institution when ago rather responsibility step back. Lose effort argue probably.,manage,most
72b020d5-aa21-474d-9f3d-df8355d1d0e0,6207be1e-5e1e-4157-a2b2-0b40e410a6b7,American,gun,home,more,possible,moment,until,color,Marketing,away,popular,recent,try,record,investment,Daughter political onto research. Give support up upon green writer hour. Weight race score pressure able want condition. First my trial see would when.,account,design
9275d695-c168-4296-b429-ce417e24c3a6,8858d67a-7934-476a-9292-96f10063ed2a,strong,officer,have,wait,next,happy,product,customer,Marketing,early,near,establish,heavy,until,agree,Collection yet concern young two rise yourself human. Agency spring card system sister many business simple. Its color decade sport sort. Better seven tax company also pick.,main,suggest
5b7788fe-4c75-40a3-8ea7-c9c542ce9353,8018292c-9c42-4cd4-993c-74b38fba39dc,common,mission,collection,each,social,deep,me,shake,Marketing,often,very,event,somebody,fly,back,Deep include before place open resource join. Edge store total major.,some,cut
d02a6017-d985-4d8b-8ad5-14011609122b,79e73fdf-584a-4aaa-bf02-286fbab48bb6,himself,according,color,case,hope,turn,leg,tree,Sales,teach,decade,various,already,candidate,ability,Back artist force. However whom field pressure always.,future,though
